unique_id,uptick_name,date,title,url,TRIPI (1),TRIPI (2),Category (1),Category (2)
2d20180531n2.pdf,hkex,2018-05-31,"Adjustment of Country Garden Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/1805313news?sc_lang=en,,,,
2d20180531n3.pdf,hkex,2018-05-31,"Report on Initial Public Offering Applications, Delisting and Suspensions (As at 31 May 2018)",http://www.hkex.com.hk/News/News-Release/2018/1805312news?sc_lang=en,,,,
2d20180531n4.pdf,hkex,2018-05-31,"The GEM Listing Committee censures Mr Gankhuyag Chultemsuren, a former executive director of IR Resources Limited (stock code: 8186), for breaching the Director’s Undertaking",http://www.hkex.com.hk/News/News-Release/2018/180531news?sc_lang=en,,,,
2d20180530n1.pdf,hkex,2018-05-30,HKEX Hosts Forum on 40th Anniversary of China’s Reform and Opening Up,http://www.hkex.com.hk/News/News-Release/2018/180530news?sc_lang=en,,,,
2d20180529n1.pdf,hkex,2018-05-29,Forfeiture of Unclaimed Final Dividend for 2011,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/1805292news/1805292news.pdf,,,,
2d20180529n2.pdf,hkex,2018-05-29,"The GEM Listing Committee censures Trillion Grand Corporate Company Limited (formerly known as Tai Shing International (Holdings) Limited) (Stock Code: 8103), and censures or criticises a number of its former directors for breaching the GEM Listing Rules and/or the Director’s Undertaking",http://www.hkex.com.hk/News/News-Release/2018/180529news?sc_lang=en,,,,
2d20180528n1.pdf,hkex,2018-05-28,HKEX to roll out MSCI Asia ex Japan Index Futures on 11 June,http://www.hkex.com.hk/News/News-Release/2018/1805282news?sc_lang=en,,,,
2d20180528n2.pdf,hkex,2018-05-28,HKEX to Cut Fees and Make Other Changes in its Stock Futures Market in Early July,http://www.hkex.com.hk/News/News-Release/2018/180528news?sc_lang=en,,,,
2d20180525n1.pdf,hkex,2018-05-25,Exchange Publishes Conclusions from its Consultation on Delisting and Other Rule Amendments,http://www.hkex.com.hk/News/News-Release/2018/180525news?sc_lang=en,,,,
2d20180524n1.pdf,hkex,2018-05-24,Announcement - In relation to the matter of China Fiber Optic Network System Group Limited (In Liquidation) (Incorporated in Cayman Islands with limited liability) (Stock Code: 3777) Proceeding to third stage of delisting procedures,http://www.hkex.com.hk/News/News-Release/2018/180524news?sc_lang=en,,,,
